20250517_111429,1378.76
20250517_111727,234.61
20250517_123021,298.86
20250517_123156,256.97
20250517_125201,2024.07
20250517_125402,110.17
20250517_125927,1053.01
20250517_130325,1027.2
20250517_130513,391.12
20250517_131148,890.38
20250517_140715,968.62
20250517_142123,1018.6
20250517_144335,360.18
20250517_144509,273.8
20250517_144656,460.96
20250517_150203,553.24
20250517_151549,643.12
20250518_124033,485.04
20250518_124359,775.72
20250518_124632,539.81
20250518_124749,506.06
20250518_130002,798.68
20250518_130114,484.42
20250518_130510,492.42
20250518_130831,600.67
20250518_131309,818.79
20250518_131823,718.38
20250518_132354,230.66
20250518_132535,230.64
20250518_132641,121.26
20250518_144536,696.5
20250518_144801,487.26
20250518_152725,647.08
20250518_153022,693.42
20250518_154836,167.4
20250518_155446,376.06
20250518_161217,267.99
20250518_162041,594.74
20250518_162602,591.48
20250518_163004,11.88
20250518_163129,14.1
20250518_163349,612.15
20250518_163838,662.36
20250518_164238,269.59
20250518_164405,390.94
20250518_165237,20.31
20250518_165457,298.92
20250518_170159,293.93
20250518_170415,265.9
20250518_170538,261.7
20250518_182155,108.98
20250518_182321,165.96
20250518_182635,218.2
20250518_182750,89.73
20250518_182933,201.76
20250518_183059,273.9
20250518_183306,688.31
20250518_192127,421.15
20250518_202407,649.1
20250518_202651,447.11
20250518_203153,12.14
20250518_203236,7.69
20250518_203331,3.98
20250518_210414,11.69
20250518_210816,610.56
20250518_211023,533.72
20250518_211444,640.97
20250518_211705,641.26
